Year,Month,Group,Loan Type,Total Loan Amount,Total Collateral Guarantees Loans,Total Small Medium Enterprises Loans,Floating Rate 1 Year Fixation,Floating Rate 1 Year Rate Fixation Collateral Guarantees,Floating Rate 1 Year Rate Fixation Floating Rate,Over 1 To 5 Years Rate Fixation,Over 5 Years Rate Fixation,Over 5 To 10 Years Rate Fixation,Over 10 Years Rate Fixation 
2025,3,Individuals and private non-profit institutions,Consumer loans with a defined maturity,141.113,54.723,,84.254,14.687,,32.946,23.913,,
2025,3,Individuals and private non-profit institutions,Housing loans,145.641,,,33.395,,32.796,,,27.645,
2025,3,Individuals and private non-profit institutions,Other loans with a defined maturity,,,,,,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity,1818.003,,604.442,,,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,157.539,132.468,,154.587,129.516,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,119.477,109.328,,96.801,87.431,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,1540.987,755.385,,1440.987,755.385,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,137.003,115.073,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,1345.47,708.267,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,91.246,82.056,,,,,
2025,3,Sole proprietors and unicorporated businesses,Other loans with a defined maturity,40.956,29.547,,37.98,27.967,,,,,
2025,3,Individuals and private non-profit institutions,Consumer loans with a defined maturity,141.113,54.723,,84.254,14.687,,32.946,23.913,,
2025,3,Individuals and private non-profit institutions,Housing loans,145.641,,,33.395,,32.796,,,27.645,
2025,3,Individuals and private non-profit institutions,Other loans with a defined maturity,,,,,,,,,,
2025,3,Sole proprietors and unicorporated businesses,Other loans with a defined maturity,40.956,29.547,,37.98,27.967,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity,1817.702,,604.141,,,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,157.238,132.167,,154.286,129.215,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,119.477,109.328,,96.801,87.431,,,,,
2025,3,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,1540.987,755.385,,1440.987,755.385,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,135.702,113.772,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,1312.829,675.626,,,,,
2025,3,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,91.246,82.056,,,,,
