Year,Month,Total Consumer Loans Aprc,Total Housing Loans Aprc,Delta Interest Rate Deposits,Weighted Average Interest Rate New Loans In Euro,Group,Weighted Average Interest Rate,Loan Type,Credit Cards,Open Account Loans,Debit Balances On Current Accounts,Total Interest Rate,Total Collateral Guarantees Interest Rates,Total Small Medium Enterprises Interest Rates,Floating Rate 1 Year Fixation,Floating Rate 1 Year Rate Fixation Collateral Guarantees,Floating Rate 1 Year Rate Fixation Floating Rate,Over 1 To 5 Years Rate Fixation,Over 5 Years Rate Fixation,Over 5 To 10 Years Rate Fixation,Over 10 Years Rate Fixation,Credit Lines,Debit Balances Sight Deposits 
2025,3,11.67,4.72,4.36,4.75,,,,,,,,,,,,,,,,,,
2025,3,,,,,Individuals and private non-profit institutions,5.78,Weighted average interest rate,,,,,,,,,,,,,,,
2025,3,,,,,Individuals and private non-profit institutions,,Loans without a defined maturity,16.68,11.47,9.2,,,,,,,,,,,,
2025,3,,,,,Individuals and private non-profit institutions,,Consumer loans with a defined maturity,,,,10.68,9.25,,11.64,10.31,,9.53,8.93,,,,
2025,3,,,,,Individuals and private non-profit institutions,,Housing loans,,,,3.65,,,3.63,,3.62,,,4.05,,,
2025,3,,,,,Individuals and private non-profit institutions,,Other loans with a defined maturity,,,,,,,,,,,,,,,
2025,3,,,,,Sole proprietors and unicorporated businesses,,Loans with a defined maturity,,,,5.38,5.14,,5.32,5.12,,,,,,,
2025,3,,,,,Sole proprietors and unicorporated businesses,,Loans without a defined maturity (Credit lines - open account loans),,,,,,,,,,,,,,7.04,
2025,3,,,,,Sole proprietors and unicorporated businesses,5.64,Weighted average interest rate,,,,,,,,,,,,,,,
2025,3,,,,,Non-financial corporations,4.27,Weighted average interest rate,,,,,,,,,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans without a defined maturity,,,,5.19,,5.58,,,,,,,,5.18,5.38
2025,3,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 1 million,,,,,,,,,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 0.25,,,,5.32,5.31,,4.92,4.88,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,,,,4.69,4.63,,4.67,4.62,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with a defined maturity over an amount of EUR 1 million,,,,3.96,4.27,,4.01,4.27,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,,,,4.94,4.89,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,,,,4.7,4.63,,,,,,,
2025,3,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,,,,3.99,4.25,,,,,,,
