Year,Month,District,Number of Buyers Total,Number Parcels Total,Declared Price,Accepted Price,Number Parcels Eu,Number Parcels Non Eu,Number Buyers Eu,Number Buyers Non Eu,Number Buyers Locals,Number Parcels Locals
2025,9,Famagusta,102.0,122.0,19860749.0,26739267.51,19.0,8.0,23.0,11.0,68.0,95.0
2025,9,Larnaca,339.0,362.0,49976838.39,54925645.38,35.0,49.0,43.0,57.0,239.0,278.0
2025,9,Limassol,466.0,503.0,185188297.76,192149236.5,39.0,60.0,47.0,77.0,342.0,404.0
2025,9,Nicosia,534.0,595.0,78357609.75,89328852.62,37.0,17.0,44.0,17.0,473.0,541.0
2025,9,Paphos,290.0,324.0,71920995.18,78819088.18,53.0,56.0,65.0,88.0,137.0,215.0
2025,10,Famagusta,132.0,136.0,19896373.41,24715156.1,16.0,12.0,22.0,20.0,90.0,108.0
2025,10,Larnaca,356.0,400.0,54027301.1,60085564.86,30.0,41.0,36.0,54.0,266.0,329.0
2025,10,Limassol,366.0,401.0,104244877.12,113767642.48,27.0,43.0,31.0,51.0,284.0,331.0
2025,10,Nicosia,478.0,512.0,67575549.38,74960724.06,25.0,16.0,31.0,18.0,429.0,471.0
2025,10,Paphos,276.0,310.0,65721454.64,76302403.6,49.0,63.0,70.0,97.0,109.0,198.0
2025,11,Famagusta,122.0,130.0,16314287.41,19286478.87,15.0,19.0,21.0,26.0,75.0,96.0
2025,11,Larnaca,322.0,350.0,54905363.71,59779499.38,37.0,44.0,46.0,49.0,227.0,269.0
2025,11,Limassol,402.0,447.0,152733403.16,158389117.05,36.0,56.0,42.0,77.0,283.0,355.0
2025,11,Nicosia,557.0,639.0,81928717.72,90916957.32,44.0,15.0,43.0,16.0,498.0,580.0
2025,11,Paphos,268.0,294.0,63225945.01,68111215.09,48.0,79.0,60.0,127.0,81.0,167.0
2025,12,Famagusta,131.0,149.0,28261856.41,34312584.88,11.0,15.0,14.0,24.0,93.0,123.0
2025,12,Larnaca,388.0,431.0,68199196.8,75023863.17,35.0,37.0,43.0,48.0,297.0,359.0
2025,12,Limassol,435.0,504.0,146817719.72,155770975.61,17.0,51.0,19.0,70.0,346.0,436.0
2025,12,Nicosia,589.0,673.0,98743937.73,109227220.03,28.0,12.0,33.0,15.0,541.0,633.0
2025,12,Paphos,303.0,355.0,110350060.23,116105063.94,67.0,60.0,95.0,86.0,122.0,228.0
