pipeline_id,display_name,country,source,source_url,elstat_pub_code,access_type,file_type,has_extractor,deliverable_kind,db_compare_wired,db_name,db_table,min_deliverable_year
cy_01_average_monthly_earnings,Cyprus: Average Monthly Earnings (Quarterly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/el/8.CYSTAT-DB/Labour%20Cost%20and%20Earnings/Earnings/1110010G.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_average_monthly_earnings,2023
cy_02_building_permits_by_district,Cyprus: Building Permits by District (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Construction/Building%20Permits/1440010E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_building_permits_by_district,
cy_03_building_permits_by_property_type,Cyprus: Building Permits by Property Type (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Construction/Building%20Permits/1440005E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_building_permits_by_property_type,
cy_04_construction_index_cy,Cyprus: Construction Materials Price Index (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Construction/Price%20Index%20of%20Construction%20Materials/1420013E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_construction_index_cy,2022
cy_05_consumer_price_index,Cyprus: Consumer Price Index (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Price%20Indices/Consumer%20Price%20Index/0410055E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_consumer_price_index,
cy_06_economic_forecast_cy,Cyprus: Economic Forecast (EU Commission),Cyprus,Eurostat,https://economy-finance.ec.europa.eu/,,Direct URL,html,yes,extracted_csv,yes,zeus,ed_economic_forecast_cy,
cy_09_gross_value_added_sector,Cyprus: Gross Value Added By Sector (Annual),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/National%20Accounts/Annual%20National%20Accounts/0610020E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_gross_value_added_sector,2021
cy_10_lro_contracts_of_sale,Cyprus: LRO Contracts of Sale (DLS Portal),Cyprus,DLS Cyprus (Lands & Surveys),https://portal.dls.moi.gov.cy/statistics/pagkypria-statistika-stoicheia-politirion-engrafon-2024-kai-2025/,,Direct URL,pdf,yes,extracted_csv,yes,zeus,ed_lro_contracts_of_sale,
cy_11_lro_transfers,Cyprus: LRO Transfers (DLS Portal),Cyprus,DLS Cyprus (Lands & Surveys),https://portal.dls.moi.gov.cy/statistics/pagkypria-statistika-poliseon-metavivaseon-2025/,,Direct URL,pdf,yes,extracted_csv,yes,zeus,ed_lro_transfers,
cy_12_monthly_gross_earnings_distribution,Cyprus: Monthly Gross Earnings Distribution (Annual),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Labour%20Cost%20and%20Earnings/Earnings/1110060E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_monthly_gross_earnings_distribution,2021
cy_13_new_loans_millions,Cyprus: New Loans Millions (MFS Spreadsheet),Cyprus,Central Bank of Cyprus,https://www.centralbank.cy/en/publications/monetary-and-financial-statistics/,,Direct URL,xls,yes,extracted_csv,yes,zeus,ed_new_loans_millions,
cy_14_per_day_expenditure_of_tourists,Cyprus: Per Day Expenditure of Tourists (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Tourism/Revenue%20from%20Tourism/Monthly/2031024E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_per_day_expenditure_of_tourists,
cy_15_residential_price_indices,Cyprus: Residential Property Price Indices (RPPI),Cyprus,Central Bank of Cyprus,https://www.centralbank.cy/en/publications/residential-property-price-indices,,Direct URL,xlsx,yes,extracted_csv,yes,zeus,ed_residential_price_indices,
cy_16_total_households_loans_millions,Cyprus: Total Households Loans Millions (NPLs),Cyprus,Central Bank of Cyprus,https://www.centralbank.cy/en/licensing-supervision/banks/aggregate-cyprus-banking-sector-data,,Direct URL,xlsx,yes,extracted_csv,yes,zeus,ed_total_households_loans_millions,
cy_17_tourist_arrivals_country,Cyprus: Tourist Arrivals By Country (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Tourism/Tourists/Monthly/2021010E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_tourist_arrivals_country,2023
cy_18_tourist_arrivals_revenue,Cyprus: Tourist Arrivals and Revenue (Monthly),Cyprus,CYSTAT,https://cystatdb.cystat.gov.cy/api/v1/en/8.CYSTAT-DB/Tourism/Revenue%20from%20Tourism/Monthly/2031010E.px,,API (CYSTAT PXweb),csv,yes,extracted_csv,yes,zeus,ed_tourist_arrivals_revenue,
ed_apartments_price_index_table,Ed Apartments Price Index Table,Greece,Bank of Greece,https://www.bankofgreece.gr/RelatedDocuments/Νέοι_Πίνακες_Τιμών_Κατοικιών_full.pdf,,Direct URL,pdf,yes,extracted_csv,yes,athena,ed_apartments_price_index,
ed_building_permits_by_no_of_rooms,Ed Building Permits By No Of Rooms,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SOP03/-,SOP03,Scrape (ELSTAT publication),xls,no,raw_file,no,,ed_building_permits_by_no_of_rooms,
ed_building_permits_table,Ed Building Permits (Monthly Private Building Activity),Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SOP03/-,SOP03,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_building_permits,
ed_construction_index,Ed Construction Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT66/-,DKT66,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_construction_index,
ed_consumer_price_index,Ed Consumer Price Index,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT87/-,DKT87,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_consumer_price_index,
ed_economic_forecast,EU Economic Forecast - Greece,Greece,Eurostat,https://economy-finance.ec.europa.eu/,,Direct URL,html,yes,extracted_csv,yes,athena,ed_economic_forecast,
ed_economic_sentiment_indicator,Ed Economic Sentiment Indicator (Eurostat),Greece,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/,,API (Eurostat SDMX),csv,yes,extracted_csv,yes,athena,ed_economic_sentiment_indicator,
ed_employment,Employment Status & Unemployment Rate,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SJO02/-,SJO02,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_employment,
ed_eu_consumer_confidence_index,Ed EU Consumer Confidence Index (Eurostat),Greece,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/{DATASET_CODE}/{FILTER}/?format=SDMX-CSV&compressed=false&startPeriod=2025-01,,API (Eurostat SDMX),csv,yes,extracted_csv,yes,athena,ed_eu_consumer_confidence_index,
ed_eu_gdp,Ed EU GDP (Eurostat),Greece,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/{DATASET_CODE}/{FILTER}/?format=SDMX-CSV&compressed=false&startPeriod=2024-Q1,,API (Eurostat SDMX),csv,yes,extracted_csv,yes,athena,ed_eu_gdp,
ed_eu_hicp,Ed EU Harmonized Index Of Consumer Prices (Eurostat),Greece,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/{DATASET_CODE}/{FILTER}/?format=SDMX-CSV&compressed=false&startPeriod=2025-01,,API (Eurostat SDMX),csv,yes,extracted_csv,yes,athena,ed_eu_harmonized_index_of_consumer_prices,
ed_eu_unemployment_rate,Ed EU Unemployment Rate (Eurostat),Greece,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/{DATASET_CODE}/{FILTER}/?format=SDMX-CSV&compressed=false&startPeriod=2025-01,,API (Eurostat SDMX),csv,yes,extracted_csv,yes,athena,ed_eu_unemployment_rate,
ed_fdi_activity,BoG FDI Flows - Home by Activity,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/external-sector/,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_fdi_activity,
ed_fdi_country,BoG FDI Flows - Home by Country,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/external-sector/,,Direct URL,xls,yes,extracted_csv,yes,athena,ed_fdi_country,
ed_fdi_real_estate,BoG FDI Direct Investment Real Estate,Greece,Bank of Greece,https://www.bankofgreece.gr/en/statistics/external-sector/,,Direct URL,xlsx,yes,extracted_csv,yes,athena,ed_fdi_real_estate,
ed_geo_distribution_of_issued_and_pending_permits,Ed Geo Distribution of Issued and Pending Permits,Greece,Greek Migration Ministry,https://migration.gov.gr,,Direct URL,pdf,yes,extracted_csv,yes,athena,ed_geo_distribution_of_issued_and_pending_permits,
ed_gross_fixed_capital_formation,Ed Gross Fixed Capital Formation (SEL81) - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL81/-,SEL81,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_gross_fixed_capital_formation,2022
ed_gva_by_sector,Ed GVA By Sector - Annual,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL12/-,SEL12,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_gva_by_sector,
ed_household_income_allocation,Household Income Allocation (Gross Savings) - Annual,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL60/-,SEL60,Scrape (ELSTAT publication),xls,no,raw_file,no,,ed_household_income_allocation,
ed_housing_finances,Housing Finances (Households S.1M) - Quarterly,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL95/-,SEL95,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_housing_finances,
ed_imports_exports_millions,Imports-Exports of Goods and Services (Millions) - Annual,Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/SEL30/-,SEL30,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_imports_exports_millions,
ed_industrial_production_index,Industrial Production Index (Overall + Seasonally Adjusted),Greece,ELSTAT,https://www.statistics.gr/en/statistics/-/publication/DKT21/-,DKT21,Scrape (ELSTAT publication),xls,yes,extracted_csv,yes,athena,ed_industrial_production_index,
